stem	stilk
collapse	sammenbrud
collapse	kollaps
sight	synet
sight	syn
albanian	albanske
albanian	albansk
albanian	albanere
canyon	kløft
samples	smagsprøver
samples	stikprøver
samples	prøver
celebrity	kendis
celebrity	berømthed
priests	præsterne
priests	præster
workshop	værkstedet
workshop	værksted
herzegovina	hercegovina
fortune	formue
fortune	formuen
bars	tremmer
bars	stænger
bars	bjælker
bars	barer
presidency	formandskabet
presidency	formandskab
appeals	appel
appeals	appeller
appeals	appellerer
appeals	verb
rookie	rekrut
rookie	nybegynder
shock	chokere
shock	chok
shock	stød
employee	medarbejder
employee	arbejdstager
employee	lønmodtager
employee	ansat
yang	yang
tomb	grav
innovation	fornyelse
innovation	nyskabelse
innovation	fornyelser
innovation	innovation
streams	vandløb
streams	strømme
unity	sammenhold
unity	enhed
proteins	protein
proteins	proteiner
proposals	forslag
swimmers	svømmere
mainland	fastlandet
mainland	fastland
seminary	seminarium
timeline	tidslinjen
timeline	tidslinje
coup	kuppet
coup	statskup
coup	kup
negotiations	forhandlinger
negotiations	forhandlingerne
exhibitions	udstillinger
hate	had
hate	hadefuld
hate	hate
installation	montering
installation	installering
installation	installation
installation	anlæg
goalkeeper	målmand
efficiency	effektiviteten
efficiency	virkningsgrad
efficiency	effektivitet
chapters	kapitler
helicopter	helikopter
helicopter	helikopteren
fortress	fæstningen
fortress	fæstning
fortress	fort
displays	skærme
contributors	bidragydere
contributors	bidragsydere
chat	chat
catholics	katolikker
pit	hul
desk	skrivebord
sprint	sprint
exile	eksil
achievements	resultater
achievements	bedrifter
rebels	rebellerne
rebels	rebeller
rebels	oprørere
rebels	oprørerne
rebels	oprører
bills	regninger
glacier	gletsjer
binding	bindemiddel
binding	binding
saving	opsparing
chi	chi
developer	udvikler
difficulties	vanskeligheder
doctrine	doktrinen
doctrine	doktrin
fork	gaffel
hotels	hotel
hotels	hotellerne
hotels	hoteller
developments	udviklinger
developments	udviklingen
currency	valuta
currency	møntenhed
missionary	missionær
hammer	hammer
hammer	hammeren
dollar	dollar
ambassadors	ambassadørerne
ambassadors	ambassadører
centres	centrene
centres	centre
descendants	efterkommere
customs	toldvæsenet
customs	toldmyndighederne
grid	gitter
certificate	attest
certificate	certifikat
destination	destination
destination	destinationen
destination	bestemmelsessted
euro	euroen
euro	euro
consumption	konsum
consumption	forbrug
consumption	forbruget
survivors	overlevende
survivors	efterladte
mansion	palæet
mansion	palæ
temples	templer
sheet	plader
sheet	ark
sheet	lagen
lift	elevator
lift	lift
confidence	tillid
confidence	tilliden
confidence	selvtillid
confidence	selvtilliden
cuisine	gastronomi
cuisine	køkken
galaxy	galaksen
galaxy	galakse
outbreak	udbruddet
