ursachen	causes
arbeitsgemeinschaft	consortium
befreiung	liberation
befreiung	waiver
befreiung	exemption
befreiung	deliverance
zoll	inch
zoll	duty
zoll	inches
zoll	customs
wunder	miracles
wunder	wonders
wunder	miracle
wunder	wonder
vorsprung	lead
vorsprung	advance
kindergarten	kindergarten
kindergarten	nursery
regime	régime
regime	regime
finger	finger
finger	fingers
sanierung	remediation
sanierung	refurbishment
sanierung	redevelopment
sanierung	rehabilitation
sanierung	renovation
geheimnis	mystery
geheimnis	secret
stufen	stairs
stufen	tiers
stufen	stages
stufen	steps
stufen	levels
fellow	fellow
ebenen	layers
ebenen	plains
ebenen	tiers
ebenen	levels
sätzen	sentences
domain	domain
versteckt	hides
versteckt	hiding
schlüssel	keys
schlüssel	key
katholiken	catholics
katholiken	catholic
anbieter	supplier
anbieter	suppliers
anbieter	provider
anbieter	vendors
anbieter	providers
strafe	penalty
strafe	doom
strafe	punishment
strafe	sentence
brust	chests
brust	chest
brust	breast
brust	breasts
zeilen	rows
zeilen	lines
gulden	guilders
gulden	guilder
endrunde	finals
planet	planet
vorgang	process
einflüsse	influences
einflüsse	impacts
einflüsse	effects
überlieferung	lore
überlieferung	tradition
überlieferung	folklore
vorsitz	chairmanship
vorsitz	presidency
erdgeschoss	ground
traum	dream
traum	dreams
allianz	alliance
barock	baroque
kreisen	circles
pilot	pilot
job	job
geologie	geology
kolonien	colonies
kolonien	colony
klammern	clamps
klammern	parentheses
klammern	staples
klammern	braces
klammern	brackets
verwandte	relative
verwandte	relatives
verwandte	kin
unterkategorien	subcategories
kampagne	campaigning
kampagne	campaign
beobachtung	monitoring
beobachtung	observation
urkunden	documents
urkunden	deeds
sicherung	fuse
sicherung	backup
sicherung	securing
felsen	cliffs
felsen	rocks
felsen	cliff
felsen	rock
arme	arms
händen	hands
höhen	treble
höhen	highs
höhen	altitude
höhen	heights
airlines	airlines
kalender	calendar
kalender	calendars
blog	blog
malerin	painter
unbekannte	unknown
wiederwahl	reelection
wiederwahl	reelection
erfindung	fiction
erfindung	invention
erfindung	invention
nachlass	discount
nachlass	inheritance
nachlass	rebate
reichweite	scope
reichweite	range
hals	throat
hals	neck
schlösser	castles
schlösser	locks
schlösser	palaces
jahrhunderten	centuries
hauptrollen	lead
piano	piano
olympia	olympia
bemühungen	endeavour
bemühungen	effort
bemühungen	efforts
bemühungen	endeavors
bemühungen	endeavours
wochenende	weekend
wochenende	weekend
sprung	leap
flüchtlinge	refugees
flüchtlinge	fugitives
flüchtlinge	refugees
koalition	coalition
comic	cartoon
skulptur	sculpture
sinfonie	symphony
vermittlung	operator
vermittlung	placement
vermittlung	intermediation
vermittlung	mediation
vermittlung	conciliation
handlungen	acts
handlungen	actions
seminar	seminary
seminar	seminar
naturpark	park
substanz	substance
generationen	generations
generationen	generations
leid	sorrow
leid	suffering
ausrüstung	equipment
ausrüstung	gear
ausrüstung	equipment
dreharbeiten	filming
dreharbeiten	shooting
saal	chamber
saal	courtroom
saal	hall
saal	auditorium
negative	negatives
haltepunkt	halt
haltepunkt	breakpoint
mangel	lack
mangel	defect
mangel	deficiency
mangel	shortage
mangel	shortage
minderheit	minority
minderheit	minority
beamten	officials
kupfer	copper
sandstein	sandstone
marken	brands
marken	marches
marken	trademarks
marken	brands
rezension	review
fische	fishes
fische	pisces
fische	fish
irgendwas	something
irgendwas	anything
auszug	snippet
auszug	excerpt
auszug	extract
branche	sector
kleidung	apparel
kleidung	dress
kleidung	attire
kleidung	clothing
kleidung	clothes
erlaubnis	permission
player	spieler
atmosphäre	ambience
atmosphäre	atmosphere
atmosphäre	ambiance
kreuzer	cruiser
erdbeben	earthquake
erdbeben	earthquakes
erdbeben	earthquake
feier	ceremony
feier	party
feier	celebrations
feier	celebration
schäfer	shepherd
schäfer	shepherds
schäfer	shepherd
rückseite	backside
rückseite	reverse
rückseite	rear
rückseite	back
lokomotive	locomotive
vermutung	presumption
vermutung	conjecture
vermutung	guess
vermutung	supposition
vermutung	assumption
propaganda	propaganda
kenntnisse	skills
kenntnisse	knowledge
spalte	column
spalte	column
überlegungen	considerations
überlegungen	reflections
überlegungen	thoughts
report	report
teilung	partition
teilung	divide
fremde	strangers
fremde	outsiders
fremde	stranger
lkw	lorries
lkw	truck
lkw	lorry
lkw	trucks
abbildungen	graphs
abbildungen	pictures
abbildungen	images
abbildungen	figures
abbildungen	illustrations
verschwinden	disappearance
spenden	donations
