impression	impresión
novelists	novelistas
dancer	bailarina
dancer	bailarín
phenomenon	fenómeno
anchor	anclas
anchor	anclaje
anchor	anclan
anchor	ancla
anchor	anclar
abilities	habilidades
abilities	capacidades
procedures	procedimientos
timber	madera
timber	maderas
fisher	pescador
cartoon	caricatura
disorder	trastorno
disorder	desorden
demands	demanda
demands	exigencias
demands	demandas
continent	continente
fellowship	compañerismo
lock	bloquean
lock	bloquea
lock	bloqueamos
lock	bloquear
lock	canda
lock	cerradura
lock	bloqueo
lock	bloqueen
lock	candado
lock	bloquee
lock	cando
overview	sinopsis
acquisition	adquisición
acquisition	captación
filter	filtre
filter	filtran
filter	filtro
filter	filtrar
filter	filtra
addresses	domicilios
addresses	direccion
addresses	direcciones
observation	observación
threats	amenazas
threats	amenaza
protocol	protocolo
protocol	protocolos
judgment	juicio
judgment	sentencia
colours	colores
colours	colorantes
colours	colore
landmark	hito
package	paquete
package	bulto
controls	controla
controls	controles
controls	mandos
prisoner	prisionero
prisoner	prisioneros
prisoner	preso
prisoner	prisionera
signals	señales
signals	señala
capita	cápita
intervention	intervención
intervention	intervenciones
cylinder	cilindro
cylinder	cilindros
tenth	décimo
tenth	décima
shops	tiende
shops	comercios
shops	tiendas
dome	cúpula
dome	domo
philosopher	filósofo
epic	épica
epic	épico
stem	tallar
stem	tallas
stem	tallan
stem	talla
stem	tallo
stem	talle
collapse	desplome
collapse	colapsar
collapse	derrumbar
collapse	colapsa
collapse	derrumban
collapse	colapse
collapse	derrumbe
collapse	colapso
collapse	derrumba
collapse	colapsan
albanian	albaneses
albanian	albanés
canyon	cañon
canyon	cañón
samples	muestras
samples	muestra
celebrity	famoso
celebrity	celebridades
celebrity	famosos
celebrity	celebridad
priests	curas
priests	cura
priests	sacerdotes
workshop	workshop
workshop	taller
workshop	talleres
fortune	fortuna
bars	bares
bars	rejas
bars	barre
bars	barras
presidency	presidencia
appeals	apelación
appeals	apelaciones
appeals	llamamientos
rookie	novato
rookie	novata
shock	choca
shock	chocan
shock	choque
shock	chocar
shock	conmoción
shock	choco
shock	choquen
employee	empleados
employee	asalariado
employee	trabajador
employee	empleada
employee	empleado
tomb	tumbar
tomb	tumbo
tomb	sepulcro
tomb	tumba
tomb	tumbas
innovation	innovaciones
innovation	innovación
streams	arroyos
unity	unidad
interchange	intercambien
interchange	intercambia
interchange	intercambio
interchange	intercambiar
interchange	intercambian
proteins	proteínas
proposals	proposiciones
proposals	propuestas
swimmers	nadadores
mainland	continente
seminary	seminario
timeline	biografías
timeline	cronología
timeline	biografía
coup	golpe
negotiations	negociaciones
exhibitions	exposiciones
exhibitions	exhibiciones
hate	odia
hate	odio
hate	odian
hate	odie
hate	odiar
installation	montaje
installation	instalación
goalkeeper	portero
goalkeeper	arquero
julian	julián
efficiency	eficacia
efficiency	eficiencia
chapters	capítulos
helicopter	helicóptero
helicopter	helicópteros
fortress	fortaleza
displays	expositores
displays	pantallas
contributors	contribuyentes
contributors	colaboradores
chat	charlar
chat	charlan
chat	charlas
chat	charle
chat	charla
chat	charlo
chat	charlemos
chat	chatear
catholics	católicos
pit	pozo
pit	hoyo
pit	fosa
pit	foso
desk	escritorio
garrison	guarnición
sprint	sprint
exile	exiliar
exile	exilia
exile	destierro
exile	destierra
exile	exiliado
exile	desterrar
exile	exilio
achievements	logros
achievements	realizaciones
rebels	rebeldes
alpine	alpino
alpine	alpes
alpine	alpina
bills	factura
bills	facturas
glacier	glaciar
binding	vinculante
binding	encuadernación
developer	revelador
developer	desarrollador
developer	desarrolladores
developer	promotor
indie	indie
difficulties	dificultades
difficulties	dificultad
doctrine	doctrina
fork	tenedor
fork	horquilla
fork	bifurcación
vocalist	vocalista
hotels	hoteles
developments	evolución
developments	acontecimientos
developments	desarrollos
literacy	alfabetización
currency	moneda
currency	divisas
currency	divisa
dollar	dolar
dollar	dólar
ambassadors	embajadores
centres	centros
descendants	descendientes
descendants	descendencia
customs	aduana
customs	aduanas
customs	aduanera
customs	costumbres
grid	red
grid	rejilla
grid	cuadrícula
certificate	certificado
certificate	certifican
certificate	certificar
certificate	certifica
certificate	certifique
destination	destino
destination	destinos
indies	indias
euro	euros
euro	euro
euro	eurocopa
consumption	consumo
consumption	consumos
feat	proeza
feat	hazaña
survivors	sobreviviente
survivors	sobrevivientes
survivors	supervivientes
mansion	mansión
temples	templos
sheet	sábana
sheet	chapa
sheet	hoja
sheet	chapo
sheet	chapas
lift	levantemos
lift	levantar
lift	levanto
lift	levanten
lift	levante
lift	ascensor
lift	levantan
lift	levanta
confidence	confianza
cuisine	gastronomía
cuisine	cocina
galaxy	galaxia
outbreak	broto
outbreak	brotar
outbreak	brote
outbreak	brota
outbreak	brotan
handball	balonmano
georgian	georgiano
georgian	georgianos
trek	trek
arch	arco
keys	llaves
keys	teclas
keys	cayos
keys	clava
keys	claves
proceedings	procedimientos
quartet	cuarteto
aims	objetivos
aims	finalidades
disk	disco
disk	disque
punishment	castigo
punishment	castigos
accuracy	exactitud
accuracy	precisión
meter	metros
meter	medidor
suspension	suspensiones
suspension	suspensión
graduation	graduación
seeds	semillas
seeds	semilla
lighting	alumbrado
lighting	iluminación
smooth	liso
smooth	suave
customer	cliente
customer	clientes
customer	clienta
taste	gusta
taste	sabor
taste	gustan
taste	gustas
taste	guste
taste	gustar
taste	gustos
taste	gusten
taste	degustan
taste	gusto
taste	degustar
taste	degusta
bros	bros
assertion	afirmación
boulevard	bulevar
brooks	arroyos
strikes	huelga
strikes	huelgas
reconstruction	reconstrucción
chronicle	crónica
rebel	rebelde
rebel	rebeldes
pianist	pianista
canon	canon
pack	envase
pack	manada
pack	mano
pack	manar
pack	paquete
pack	mana
pack	manan
pack	mane
pack	envasar
pack	envasa
pack	manas
cyclists	ciclistas
payment	pago
payment	pagos
suburbs	suburbios
suburbs	periferia
militia	milicias
militia	milicianos
militia	milicia
exhibit	expones
exhibit	expón
exhibit	exponga
exhibit	exposición
exhibit	expongo
exhibit	exponen
exhibit	exponer
exhibit	expongan
exhibit	exhibición
compromise	compromiso
jail	prisión
jail	carcel
jail	cárcel
promise	promesas
promise	prometo
promise	prometer
promise	prometa
promise	prometido
promise	promesa
promise	prometen
promise	promete
deals	ofertas
deals	oferta
afternoon	tarde
afternoon	tardes
recall	recordad
recall	recordar
recall	recuerdas
recall	recuerdan
recall	recuerden
recall	recuerdo
recall	recordemos
recall	recuerda
recall	recordamos
recall	recuerde
warrior	guerrero
warrior	guerrera
mammals	mamíferos
dimensions	dimensiones
gaming	juegos
gaming	juego
gaming	videojuegos
lutheran	luterana
ports	puertos
survival	sobrevivir
survival	sobrevivencia
survival	supervivencia
responses	respuestas
scandal	escándalo
widow	viuda
swing	columpio
swing	balanceo
swing	swing
swing	balancear
swing	balancea
nights	noches
polo	polo
adr	adr
probability	probabilidades
probability	probabilidad
farms	finca
farms	explotaciones
farms	fincas
farms	granjas
conferences	congresos
conferences	conferencias
witness	testigo
witness	testimonian
witness	testimoniar
witness	testimonio
witness	testigos
witness	testimonia
nephew	sobrino
diet	dietas
diet	dieta
diet	dietética
clients	clientes
fringe	marginal
passion	pasion
passion	pasión
rings	anillos
millions	millones
dialect	dialecto
relay	relé
relay	retransmisión
relay	releva
relay	relevo
relay	relevar
cruise	cruceros
cruise	crucero
joy	gozan
joy	alegria
joy	goce
joy	gocen
joy	gozar
joy	goza
joy	alegría
joy	gozo
kitchen	cocina
snake	serpiente
snake	víbora
snake	culebra
comedian	cómico
comedian	comediante
comedian	humorista
motorcycle	motos
motorcycle	motocicleta
motorcycle	moto
bow	moño
bow	reverencia
bow	reverencias
bow	proa
bow	arco
eurovision	eurovisión
firing	despido
firing	disparando
firing	despidiendo
gravity	gravedad
frontier	fronterizo
frontier	fronteriza
frontier	frontera
evaluation	evaluación
graph	gráfica
graph	grafo
graph	gráfico
hybrid	híbridos
hybrid	híbrida
hybrid	híbrido
keyboard	teclados
keyboard	teclado
slavery	esclavitud
operators	operarios
operators	operadores
armor	armaduras
armor	armadura
armor	blindaje
mechanics	mecánica
mechanics	mecánicas
mechanics	mecánicos
footage	metraje
footage	secuencias
strings	cuerdas
strings	cadenas
header	encabezado
header	encabezamiento
header	cabecera
hood	cape
hood	capo
hood	capucha
hood	capó
hood	capas
hood	capa
inspector	comisario
inspector	inspectora
warnings	advertencias
warnings	avisos
relatives	parientes
relatives	familiares
plains	llanura
plains	planicies
plains	llanuras
plains	llanos
wheels	rueda
wheels	ruedas
criterion	criterio
ace	as
ace	eca
arrangements	arreglos
joke	chiste
joke	broma
religions	religiones
grants	subvenciona
grants	subvenciones
grants	becas
