नरम	soft
रोमांटिक	romantic
सुविधाजनक	convenient
मौसमी	seasonal
ऋणात्मक	negative
जवान	young
अचल	immovable
भूरा	brown
विश्वव्यापी	worldwide
विश्वव्यापी	universal
भ्रष्ट	corrupt
तुरन्त	immediately
तुरन्त	instantly
पैतृक	paternal
लेट	reclining
पतला	slim
पतला	thin
पतला	slight
कमाल	awesome
कमाल	miracle
रहस्यमय	mysterious
इस्लामिक	islamic
सिंगल	single
अस्थिर	giddy
अस्थिर	capricious
अस्थिर	unstable
राख	ash
जीवंत	vibrant
जीवंत	lively
दिलचस्प	interesting
दिलचस्प	delightful
कच्चा	raw
शाप	darn
वैवाहिक	marital
जादुई	magical
निष्ठा	sincerely
ऑप्टिकल	optical
दीप	light
ग़लत	wrong
ग़लत	erroneous
ज़रूर	sure
प्रागैतिहासिक	prehistoric
मूल्यवान	valuable
विशेषाधिकार	privileged
सामयिक	topical
आखिरकार	eventually
आखिरकार	finally
अदृश्य	invisible
अदृश्य	imperceptible
अटल	obdurate
अटल	resolute
अटल	adamant
अटल	irrevocable
दुष्ट	wicked
निष्पक्ष	impartial
निष्पक्ष	equitable
निष्पक्ष	neutral
संयोजित	combined
वर्जित	forbidden
ज्यामितीय	geometric
आणविक	molecular
जरुरी	necessary
वायुमंडलीय	atmospheric
सतही	superficial
पारदर्शी	transparent
पारदर्शी	translucent
अप्रत्याशित	unexpected
दुर्बल	weak
अभूतपूर्व	unprecedented
वैचारिक	ideological
रोमांचक	exciting
यादृच्छिक	random
सचमुच	literally
सचमुच	really
जन्मजात	congenital
तदनुसार	accordingly
सीमांत	marginal
पागल	crazy
पागल	crazier
होनेवाली	fleeting
होनेवाली	happening
होनेवाली	currently
यादगार	memorable
दुर्भाग्य	unfortunately
धीमा	slower
महानतम	greatest
सस्ता	shoddy
सस्ता	cheaper
यथार्थवादी	realistic
यथार्थवादी	realist
स्वर्गीय	heavenly
ध्वन्यात्मक	phonetic
निपुण	proficient
निपुण	sagacious
विस्थापित	displaced
अयोग्य	unfit
अयोग्य	ineligible
अयोग्य	unworthy
कोणीय	angular
जानबूझकर	intentional
नशे	drunk
मिठाई	sweet
प्रतीकात्मक	symbolic
शंकु	conical
वृद्ध	old
वृद्ध	older
निर्मल	serene
निर्मल	translucent
अंटार्कटिक	antarctic
महंगा	expensive
प्रबंधित	managed
मनोरंजक	fun
अनगिनत	myriad
अनगिनत	countless
हीन	minor
दोहरा	double
दोहरा	dual
बैंगनी	purple
बैंगनी	violets
बैंगनी	eggplant
बैंगनी	violet
स्वैच्छिक	voluntary
बुद्धिमान	intelligent
बुद्धिमान	astute
नग्न	naked
नग्न	nude
पावन	holy
बैले	ballet
विनाशकारी	disastrous
विनाशकारी	devastating
विनाशकारी	catastrophic
बहुराष्ट्रीय	multinational
फ़्रांसीसी	french
सच्चा	true
विश्लेषणात्मक	analytical
कॉफ़ी	sufficient
कॉफ़ी	enough
कड़ा	tight
कड़ा	hard
विशालकाय	palatial
प्रशस्त	expansive
नास्तिक	impious
सांसारिक	worldly
अमूर्त	abstract
सौभाग्य	fortunately
संस्थागत	institutional
अधीनस्थ	subordinate
अधीनस्थ	subservient
चिंतित	anxious
चिंतित	apprehensive
विधिक	legal
असुरक्षित	unsafe
अम्लीय	acidic
क्रियाशील	active
सभ्य	decent
सभ्य	civil
अनजाने	unknowingly
मौद्रिक	monetary
भयभीत	scared
भयभीत	afraid
मौन	tacit
अनन्य	exclusive
मूक	silent
चमकदार	luminous
चमकदार	shiny
चमकदार	dazzling
संख्यात्मक	numerical
गुदा	anal
शाश्वत	eternity
सुखद	enjoyable
सुखद	pleasant
सस्ती	affordable
नगरीय	urban
क्रोधित	aggravated
क्रोधित	furious
क्रोधित	angry
तात्कालिक	urgent
तात्कालिक	immediate
तांत्रिक	tantric
हलके	lightly
उत्तेजक	provocative
क्रूर	cruel
क्रूर	brutal
चिकनी	smooth
चिकनी	greasy
करोड़ों	myriad
सपाट	flat
अकादमिक	academic
असीम	infinitely
असीम	endless
धर्मनिरपेक्ष	secular
दृष्टिगोचर	visible
उर्वर	fertile
रणनीतिक	strategic
रणनीतिक	strategically
रणनीतिक	tactical
कनाडाई	canadian
फास्ट	fast
स्वादिष्ट	tasty
स्वादिष्ट	delicious
जलन	jealous
जलन	inflammatory
शौकिया	amateur
अनूठा	immersive
अनूठा	quaint
अनूठा	unique
अनूठा	heavenly
आयताकार	rectangular
नूतन	innovative
नूतन	recent
लाभप्रद	profitable
कट्टर	dogmatic
कट्टर	rabid
नगण्य	trivial
सांकेतिक	symbolic
सांकेतिक	nominal
सांकेतिक	suggestive
